epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5072,3.02239,7.96786,1.97461,0.68452,0.19218,0.21264,0.13328,2.62769,5.50313,1.96555,0.000367085,0.000367085,0.000367085
2,111.639,2.88507,5.55282,2.00444,0.49408,0.37854,0.34761,0.20528,2.4979,3.48847,2.00107,0.000713083,0.000713083,0.000713083
3,134.718,2.9555,4.9055,2.02489,0.54139,0.43702,0.37942,0.22278,2.52112,3.04559,2.00912,0.00103464,0.00103464,0.00103464
4,157.826,2.82292,4.34921,1.98565,0.60395,0.33306,0.38443,0.22009,2.48603,2.73359,1.95274,0.00100101,0.00100101,0.00100101
5,181.344,2.7611,3.9376,1.98997,0.53533,0.43749,0.4614,0.26091,2.50691,2.3661,1.9616,0.000964348,0.000964348,0.000964348
6,205.774,2.70245,3.5379,1.96464,0.37018,0.51332,0.47916,0.29489,2.36024,2.15849,1.98036,0.000927685,0.000927685,0.000927685
7,229.582,2.60157,3.1042,1.95105,0.50901,0.56052,0.52128,0.3011,2.35137,2.11893,1.94801,0.000891022,0.000891022,0.000891022
8,253.402,2.49088,2.94307,1.91851,0.59211,0.52302,0.53026,0.31744,2.2267,2.12706,1.89098,0.000854359,0.000854359,0.000854359
9,276.613,2.48072,2.66836,1.90517,0.63035,0.51043,0.55284,0.3308,2.32308,2.12783,1.95423,0.000817696,0.000817696,0.000817696
10,300.672,2.51883,2.59684,1.9281,0.52162,0.62976,0.56533,0.34245,2.26411,1.97665,1.99071,0.000781033,0.000781033,0.000781033
11,324.734,2.49513,2.55315,1.89843,0.60445,0.49654,0.55326,0.34204,2.16948,1.88053,1.95751,0.00074437,0.00074437,0.00074437
12,349.212,2.41455,2.29778,1.90224,0.58355,0.56225,0.59656,0.36447,2.13917,1.81628,1.89124,0.000707707,0.000707707,0.000707707
13,373.041,2.40126,2.22849,1.87275,0.57185,0.60126,0.61302,0.39832,2.22463,1.77537,1.91988,0.000671044,0.000671044,0.000671044
14,396.298,2.33808,2.14637,1.85716,0.69369,0.5955,0.64668,0.40795,2.08602,1.82714,1.87924,0.000634381,0.000634381,0.000634381
15,420.102,2.27548,2.00821,1.84284,0.59669,0.6409,0.62702,0.39884,2.13522,1.67005,1.91075,0.000597718,0.000597718,0.000597718
16,444.816,2.22351,1.98818,1.85846,0.59401,0.66103,0.61994,0.40229,2.08179,1.69641,1.8915,0.000561055,0.000561055,0.000561055
17,468.239,2.19626,1.8862,1.84984,0.64499,0.69927,0.69618,0.45383,2.03285,1.53094,1.88673,0.000524392,0.000524392,0.000524392
18,491.936,2.24909,1.86896,1.85059,0.69345,0.6653,0.69996,0.43833,2.14602,1.67325,1.89346,0.000487729,0.000487729,0.000487729
19,515.966,2.13337,1.75894,1.82568,0.65102,0.67695,0.66226,0.42864,2.0526,1.54985,1.86666,0.000451066,0.000451066,0.000451066
20,539.101,2.18592,1.71216,1.80169,0.66152,0.60994,0.66666,0.42978,2.06459,1.63309,1.86414,0.000414403,0.000414403,0.000414403
21,603.258,2.18573,1.96331,1.79968,0.69784,0.63656,0.66893,0.4095,2.154,1.63327,1.90536,0.00037774,0.00037774,0.00037774
22,626.26,2.12255,1.84114,1.77244,0.7495,0.61694,0.7034,0.45582,2.00499,1.56811,1.87332,0.000341077,0.000341077,0.000341077
23,649.407,2.1475,1.78155,1.8121,0.71938,0.59281,0.69135,0.44768,2.03423,1.63989,1.85072,0.000304414,0.000304414,0.000304414
24,672.292,2.06742,1.74118,1.77516,0.5935,0.75684,0.71607,0.45338,2.11156,1.56492,1.91146,0.000267751,0.000267751,0.000267751
25,694.945,2.05292,1.7211,1.79772,0.78896,0.56332,0.71306,0.47515,2.00917,1.58683,1.86321,0.000231088,0.000231088,0.000231088
26,717.948,1.99941,1.69204,1.7662,0.63466,0.69736,0.74417,0.48999,2.01689,1.5376,1.86352,0.000194425,0.000194425,0.000194425
27,741.354,1.97099,1.64628,1.7593,0.75263,0.59839,0.72232,0.49581,1.91394,1.54535,1.8297,0.000157762,0.000157762,0.000157762
28,764.097,1.94749,1.56876,1.75637,0.67695,0.66597,0.718,0.49292,1.90134,1.53913,1.83211,0.000121099,0.000121099,0.000121099
29,787.415,1.88553,1.56518,1.74105,0.67227,0.68547,0.71877,0.49883,1.85977,1.4763,1.8216,8.4436e-05,8.4436e-05,8.4436e-05
30,811.47,1.85951,1.54661,1.71407,0.74137,0.65482,0.72384,0.49493,1.88814,1.48331,1.83631,4.7773e-05,4.7773e-05,4.7773e-05
