epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4306,3.38604,6.87489,2.00615,0.56965,0.17773,0.16483,0.10674,2.9611,4.69487,2.0759,0.00110446,0.00110446,0.00110446
2,72.1329,3.25722,4.85648,2.03787,0.47868,0.34485,0.25112,0.15231,2.97281,4.68478,2.03546,0.00107434,0.00107434,0.00107434
3,104.948,3.15745,4.38139,2.01953,0.52053,0.31896,0.27153,0.16599,2.91199,3.05593,2.04146,0.00103767,0.00103767,0.00103767
4,136.994,3.04998,3.83507,1.9869,0.64522,0.28241,0.32926,0.19348,2.78867,2.75212,1.99629,0.00100101,0.00100101,0.00100101
5,170.244,2.91873,3.36592,1.95138,0.53948,0.39431,0.36112,0.20463,2.77562,2.69095,1.97223,0.000964348,0.000964348,0.000964348
6,214.559,2.88227,3.1668,1.95254,0.5731,0.36162,0.3645,0.21118,2.72538,2.8899,1.96005,0.000927685,0.000927685,0.000927685
7,246.035,2.81635,3.00362,1.9257,0.62236,0.39659,0.40552,0.25096,2.58297,2.44823,1.94705,0.000891022,0.000891022,0.000891022
8,277.909,2.76376,2.89618,1.9219,0.61989,0.42529,0.41194,0.26698,2.57099,2.33319,1.90952,0.000854359,0.000854359,0.000854359
9,309.561,2.7334,2.70739,1.89458,0.62281,0.45822,0.42781,0.27266,2.55365,2.19031,1.93094,0.000817696,0.000817696,0.000817696
10,340.757,2.65209,2.51427,1.88156,0.61722,0.46968,0.48652,0.28537,2.50623,2.09446,1.90066,0.000781033,0.000781033,0.000781033
11,373.09,2.58281,2.37644,1.86948,0.66487,0.45428,0.44711,0.26891,2.47068,2.15389,1.89339,0.00074437,0.00074437,0.00074437
12,404.659,2.59331,2.37384,1.85805,0.60781,0.45459,0.45347,0.28281,2.50859,2.1841,1.87838,0.000707707,0.000707707,0.000707707
13,436.347,2.60457,2.31371,1.86229,0.65415,0.47609,0.48521,0.27794,2.48082,1.93606,1.86531,0.000671044,0.000671044,0.000671044
14,477.721,2.51723,2.19168,1.8287,0.74832,0.45251,0.49257,0.29079,2.43032,1.96808,1.88566,0.000634381,0.000634381,0.000634381
15,519.913,2.54042,2.11256,1.84648,0.70214,0.48058,0.48262,0.30412,2.48668,1.97982,1.90962,0.000597718,0.000597718,0.000597718
16,562.382,2.46136,2.11345,1.8249,0.76222,0.45162,0.51993,0.32931,2.29831,1.95744,1.86341,0.000561055,0.000561055,0.000561055
17,605.599,2.46385,2.04989,1.8255,0.80429,0.45793,0.53454,0.33686,2.30952,1.85945,1.86738,0.000524392,0.000524392,0.000524392
18,647.359,2.37781,2.03763,1.82911,0.7126,0.50746,0.51573,0.31632,2.42296,1.86963,1.87247,0.000487729,0.000487729,0.000487729
19,689.685,2.36165,1.92051,1.83696,0.75239,0.48407,0.5281,0.32975,2.35903,1.8092,1.885,0.000451066,0.000451066,0.000451066
20,731.263,2.31684,1.84641,1.80991,0.69234,0.51177,0.55797,0.33841,2.3203,1.75732,1.85285,0.000414403,0.000414403,0.000414403
21,802.499,2.46753,2.10239,1.79376,0.74666,0.45168,0.50732,0.3119,2.3007,1.85699,1.86551,0.00037774,0.00037774,0.00037774
22,843.779,2.34226,1.92824,1.77649,0.74175,0.47183,0.57292,0.33594,2.37322,1.76331,1.88888,0.000341077,0.000341077,0.000341077
23,886.598,2.30854,1.92446,1.76445,0.78967,0.48526,0.58887,0.36602,2.30714,1.73362,1.87488,0.000304414,0.000304414,0.000304414
24,928.281,2.31674,1.85887,1.7574,0.76281,0.48284,0.60615,0.36984,2.35296,1.71581,1.87277,0.000267751,0.000267751,0.000267751
25,969.66,2.27238,1.7785,1.76108,0.74897,0.51744,0.5774,0.36988,2.15703,1.65638,1.84192,0.000231088,0.000231088,0.000231088
26,1011.73,2.27297,1.82852,1.78418,0.58468,0.55608,0.57937,0.36549,2.23373,1.66997,1.85853,0.000194425,0.000194425,0.000194425
27,1053.49,2.22642,1.83514,1.76329,0.60538,0.5762,0.57213,0.36354,2.21132,1.66553,1.84738,0.000157762,0.000157762,0.000157762
28,1094.69,2.14796,1.70052,1.74072,0.6852,0.56818,0.58477,0.37648,2.17047,1.66377,1.83859,0.000121099,0.000121099,0.000121099
29,1135.31,2.15296,1.71945,1.73971,0.65165,0.56156,0.59286,0.37919,2.10339,1.59978,1.82042,8.4436e-05,8.4436e-05,8.4436e-05
30,1176.72,2.14949,1.68056,1.74281,0.68346,0.56417,0.59571,0.3791,2.13773,1.5781,1.82776,4.7773e-05,4.7773e-05,4.7773e-05
