epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9539,1.48004,2.74732,1.05286,0.93271,0.14982,0.19862,0.12142,1.36422,1.81873,1.13708,0.00110446,0.00110446,0.00110446
2,69.6343,1.43334,1.72759,1.07162,0.57144,0.36594,0.33027,0.19933,1.30801,1.68949,1.05577,0.00107434,0.00107434,0.00107434
3,101.941,1.37295,1.54872,1.04753,0.73735,0.40301,0.44708,0.24409,1.22368,1.21121,1.0421,0.00103767,0.00103767,0.00103767
4,133.886,1.31807,1.37362,1.04697,0.69351,0.44248,0.44081,0.26076,1.17588,1.18343,1.02334,0.00100101,0.00100101,0.00100101
5,166.285,1.2633,1.23388,1.01511,0.73533,0.40652,0.48542,0.289,1.15208,1.09228,1.02442,0.000964348,0.000964348,0.000964348
6,198.136,1.19194,1.15365,1.00619,0.71405,0.49211,0.51058,0.29461,1.12687,1.09807,1.00014,0.000927685,0.000927685,0.000927685
7,237.175,1.17332,1.09051,0.99032,0.80697,0.42902,0.52006,0.3274,1.04605,1.0121,0.98065,0.000891022,0.000891022,0.000891022
8,279.339,1.16935,1.06312,0.99306,0.83063,0.43215,0.52608,0.33318,1.08525,1.01,0.98237,0.000854359,0.000854359,0.000854359
9,322.059,1.15311,1.02333,0.98694,0.77166,0.49833,0.53721,0.34442,1.09648,0.97602,0.9809,0.000817696,0.000817696,0.000817696
10,364.684,1.12306,0.95149,0.97396,0.85663,0.49635,0.56881,0.36017,1.0166,0.92049,0.96578,0.000781033,0.000781033,0.000781033
11,407.675,1.08521,0.89269,0.96372,0.8466,0.47592,0.54971,0.34887,1.04443,0.89832,0.96807,0.00074437,0.00074437,0.00074437
12,450.734,1.0987,0.89625,0.9652,0.83648,0.52561,0.5763,0.36334,1.04622,0.84977,0.97402,0.000707707,0.000707707,0.000707707
13,494.51,1.08942,0.86518,0.95609,0.83113,0.55215,0.59974,0.36066,1.08059,0.85384,0.99645,0.000671044,0.000671044,0.000671044
14,537.294,1.05229,0.85871,0.94188,0.86986,0.50925,0.59975,0.34919,1.00932,0.89187,0.96623,0.000634381,0.000634381,0.000634381
15,579.983,1.02849,0.80929,0.93662,0.80737,0.52869,0.57392,0.35394,1.02436,0.90861,0.95823,0.000597718,0.000597718,0.000597718
16,622.489,1.0088,0.83178,0.93503,0.84028,0.55296,0.6314,0.36789,0.96586,0.83959,0.95372,0.000561055,0.000561055,0.000561055
17,664.565,1.00183,0.79737,0.93526,0.82723,0.54886,0.61348,0.3828,0.99264,0.85072,0.96336,0.000524392,0.000524392,0.000524392
18,706.637,1.01265,0.78991,0.94087,0.87356,0.56548,0.61926,0.38335,0.97172,0.80273,0.94107,0.000487729,0.000487729,0.000487729
19,748.718,0.97884,0.76617,0.93351,0.90047,0.52387,0.62021,0.38798,0.96925,0.79062,0.94467,0.000451066,0.000451066,0.000451066
20,791.579,0.95236,0.72465,0.9217,0.89829,0.53083,0.66068,0.41,0.91385,0.75203,0.92535,0.000414403,0.000414403,0.000414403
21,863.447,1.0411,0.82391,0.91835,0.85083,0.55764,0.64182,0.39103,0.96499,0.79203,0.95814,0.00037774,0.00037774,0.00037774
22,906.449,0.97107,0.76312,0.90604,0.87287,0.53002,0.64219,0.39058,0.95346,0.75975,0.94927,0.000341077,0.000341077,0.000341077
23,950.141,0.95737,0.74972,0.90373,0.85539,0.56022,0.68184,0.41833,0.93779,0.7655,0.94788,0.000304414,0.000304414,0.000304414
24,991.96,0.95874,0.73231,0.90334,0.86014,0.56072,0.67757,0.42651,0.89562,0.71613,0.92952,0.000267751,0.000267751,0.000267751
25,1034.87,0.92926,0.69712,0.89095,0.75656,0.62766,0.68936,0.44865,0.87821,0.70731,0.93175,0.000231088,0.000231088,0.000231088
26,1077.35,0.95071,0.70021,0.9093,0.805,0.61177,0.68827,0.41993,0.92287,0.72582,0.93705,0.000194425,0.000194425,0.000194425
27,1117.56,0.94094,0.71824,0.895,0.72897,0.63783,0.69515,0.43461,0.90248,0.71527,0.93347,0.000157762,0.000157762,0.000157762
28,1148.18,0.88659,0.66228,0.88567,0.77766,0.63708,0.7003,0.4392,0.89426,0.68995,0.93259,0.000121099,0.000121099,0.000121099
29,1178.83,0.88722,0.65683,0.88274,0.74096,0.65281,0.72513,0.44513,0.87466,0.67267,0.92223,8.4436e-05,8.4436e-05,8.4436e-05
30,1209.61,0.88432,0.65517,0.89308,0.72408,0.66825,0.73029,0.43867,0.87655,0.6766,0.92373,4.7773e-05,4.7773e-05,4.7773e-05
